                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.2243,                 1.3074,                 1.5975,                0.65832,                0.49476,                0.52401,                0.31917,                 1.5921,                  1.569,                  1.982,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.2167,                  1.251,                 1.5722,                0.68967,                0.46335,                0.52541,                0.30851,                 1.5765,                  1.595,                 1.9585,               0.001175,               0.001175,               0.001175
                    128,                 1.1888,                 1.2599,                 1.5617,                0.60835,                    0.5,                0.53961,                0.31539,                 1.6258,                 1.5703,                 1.9529,              0.0011684,              0.0011684,              0.0011684
                    129,                 1.2146,                 1.2667,                 1.5666,                0.66189,                0.47382,                0.54751,                0.32699,                 1.5707,                 1.5606,                    1.9,              0.0011618,              0.0011618,              0.0011618
                    130,                 1.1957,                 1.2524,                 1.5466,                0.67095,                0.49738,                0.53277,                0.31572,                 1.5607,                 1.5835,                 1.9249,              0.0011552,              0.0011552,              0.0011552
                    131,                 1.2078,                 1.2394,                 1.5644,                0.60473,                0.52465,                0.53392,                0.30972,                 1.5731,                  1.567,                  1.927,              0.0011486,              0.0011486,              0.0011486
                    132,                  1.175,                 1.1959,                 1.5474,                0.60104,                 0.5048,                0.53255,                0.31312,                  1.563,                 1.5503,                 1.9033,               0.001142,               0.001142,               0.001142
                    133,                 1.1849,                 1.2124,                 1.5457,                0.66609,                0.48565,                 0.5596,                0.32233,                 1.5899,                 1.5147,                  1.934,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.1731,                 1.2421,                 1.5437,                0.59233,                0.50785,                0.52043,                0.31227,                 1.5588,                 1.5796,                 1.9033,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.1725,                 1.1922,                 1.5424,                0.59835,                0.52094,                0.53187,                0.30738,                 1.5263,                 1.5493,                 1.8957,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.1996,                 1.2283,                 1.5604,                0.64545,                 0.4712,                0.53453,                0.31497,                  1.571,                  1.591,                 1.9022,              0.0011156,              0.0011156,              0.0011156
                    137,                 1.1714,                 1.2098,                 1.5282,                 0.6128,                0.48953,                 0.5281,                0.31256,                 1.5816,                 1.6008,                 1.9088,               0.001109,               0.001109,               0.001109
                    138,                 1.1975,                 1.2369,                 1.5519,                0.65781,                0.48953,                0.55074,                0.33679,                 1.5482,                 1.5429,                 1.9014,              0.0011024,              0.0011024,              0.0011024
                    139,                 1.1775,                 1.2149,                 1.5509,                0.58066,                0.50024,                0.53013,                  0.309,                 1.5863,                 1.5946,                 1.9165,              0.0010958,              0.0010958,              0.0010958
                    140,                 1.1871,                 1.2211,                 1.5329,                0.59907,                0.50459,                0.53658,                0.31372,                 1.5682,                 1.5878,                 1.9134,              0.0010892,              0.0010892,              0.0010892
                    141,                 1.1534,                 1.2135,                 1.5261,                0.63964,                0.51309,                0.54452,                0.33611,                 1.5343,                 1.5336,                 1.8987,              0.0010826,              0.0010826,              0.0010826
                    142,                 1.1431,                 1.1821,                  1.529,                0.57738,                0.50428,                0.52435,                0.31566,                 1.5827,                 1.5702,                 1.9264,               0.001076,               0.001076,               0.001076
                    143,                 1.1675,                 1.2079,                 1.5511,                0.60589,                0.50307,                0.53418,                0.31848,                 1.5512,                 1.5678,                 1.9246,              0.0010694,              0.0010694,              0.0010694
                    144,                 1.1798,                 1.2392,                 1.5386,                0.67706,                0.49945,                0.55338,                0.33073,                 1.5686,                 1.4825,                  1.935,              0.0010628,              0.0010628,              0.0010628
                    145,                  1.169,                   1.19,                 1.5297,                0.64335,                0.50785,                0.55551,                0.33553,                  1.532,                 1.4987,                  1.901,              0.0010562,              0.0010562,              0.0010562
                    146,                 1.1635,                 1.2044,                 1.5379,                0.60362,                0.49433,                0.54304,                 0.3217,                 1.5999,                 1.5578,                 1.9594,              0.0010496,              0.0010496,              0.0010496
                    147,                  1.153,                 1.1682,                 1.5126,                0.69038,                0.47644,                 0.5423,                 0.3246,                 1.5579,                 1.5492,                 1.9288,               0.001043,               0.001043,               0.001043
